,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,name,author,place,info,genre,receipt,valid,style1,style2
0,0,1,1,1, Завтрак аристократа,Федотов Павел Андреевич,15,"Сюжет (другие названия картины – ""Ложный стыд"", ""Не в пору гость"") связывают с фельетоном И.А.Гончарова ""Письма столичного друга к провинциальному жениху"" (1848): ""Что такое франт? Франт уловил только одну, самую простую сторону умения жить: мастерски, безукоризненно одеться ... Чтобы надеть сегодня привезенные только третьего дня панталоны известного цвета ... он согласится два месяца дурно обедать ... Отчего приезд гостя всегда производит сцену и смущение в доме некоторых из этих господ? ... Боязнь и ложный стыд, чтоб не сочли хуже других, или желание показать, что они живут роскошно"". Перед зрителем – комната молодого холостяка, служащая и кабинетом, и спальней. Предметы обстановки рассказывают о хозяине. Статуэтка на шкафу, бюстик Ф.Листа на стене, разбросанные театральные афиши говорят о его любви к изящному, но и разоблачают поверхностность этих увлечений. Модный халат, широкие панталоны, восточные туфли и шапочка показывают его желание выглядеть как денди. Атмосферу ""жизни напоказ"" дополняет ""роскошный"" ""брюлловский"" колорит",бытовой жанр,Пост. в 1925  из Румянцевского музея,True,,
1,1,2,2,2,"""Вот-те и батькин обед!""",Венецианов Алексей Гаврилович,14,"В двадцатые годы XIX века в творчестве Венецианова начинает доминировать крестьянская тема. Картина ""Вот-те и батькин обед!"" была показана на первой выставке-отчете Императорской Академии художеств (1824) под названием ""Мальчик, горюющий о том, что уронил бурак с молоком и пролил"". С 1820 в залы Академии разрешили пускать людей ""без всякого разбора"", т. е. всех сословий. Творчество Венецианова находило у них самый теплый отклик. Критик, будущий конференц-секретарь ИАХ В.И.Григорович писал о картине: ""Мальчик, горюющий о том, что уронил бурак с молоком и пролил, посажен как нельзя лучше. Собака, верный товарищ его, чувствует беду своего маленького хозяина. Эта картинка отличается сочинением, силой освещения и весьма хорошим рисунком во всей фигуре, исключая следка левой ноги, который, кажется, несколько великоват"". Непосредственно и  трогательно данная, сценка приобретает несколько идиллический оттенок, что сближает ее с произведениями писателей-сентименталистов. В то же время она находится в русле романтических поисков ""духа народа"", изучения его обычаев и нравов",бытовой жанр,Приобр. П.М.Третьяковым в 1883 у Н.Д.Быкова,True,Романтизм,
2,2,4,4,4,Автопортрет,Тропинин Василий Андреевич,13,Автопортрет неоднократно повторялся и варьировался художником,портрет,Пост. в 1927 из ГМФ,True,Романтизм,
3,3,5,5,5,Автопортрет,Сухово-Кобылина Софья Васильевна,15,"Софья Васильевна принадлежала к славному роду творческих людей: она сестра знаменитого драматурга А.В.Сухово-Кобылина (его пьеса ""Свадьба Кречинского"" злободневна и сегодня) и писательницы Е.В.Салиас-де-Турнемир. Двадцатидвухлетняя художница пишет свой автопортрет в мастерской, возможно в Италии, где она жила после окончания Академии художеств. В первой половине 19 века в России практически не было женщин, профессионально занимавшихся живописью, и Софья Васильевна - одна из них, более того - окончившая Академию художеств с золотой медалью. Невысокая, стройная, изящная, с кистью, палитрой и муштабелем в руках стоит она перед большим холстом, будто исполняя роль живописца. На самом же деле она, благодаря своему трудолюбию, писала много и самозабвенно, оставив коллекцию достойных пейзажей, портретов и жанровых сцен",,"Пост. в 1928  из Главного управления научными, музейными и научно-художественными учреждениями Наркомпроса",True,Романтизм,Реализм
4,4,6,6,6,Автопортрет,Кипренский Орест Адамович,8,"Павел Михайлович Третьяков, который, как известно, предпочитал иметь в своей коллекции работы художников-современников, приобрел этот портрет в 1870 году, что говорит о его редком художественном чутье. Написанный незадолго до последнего отъезда художника в Италию, портрет несет в себе чисто внешние черты стилистики романтизма: ""взметнувшиеся"" будто крылья птицы уголки белой рубашки, небрежность завитых волос, дань моде на все восточное – халат-архалук. Но в уголках губ, сложенных в любезную улыбку, таится горечь и печаль, да и взгляд наполнен тревогой и сдерживаемым волнением. Свои многочисленные портреты, а это почти всегда, собирательный образ тогдашней светской России, Кипренский писал увлеченно и с подъемом. Он часто обращался к нейтральному фону, что, по его мнению, не должно было отвлекать зрителя от самой модели. Небольшие размеры кабинетного портрета позволяют вглядеться в лицо живописца, который здесь дан не столько как творец, но как человек своего времени, переживший падения и взлеты. Насыщенность цветовой гаммы одежды не отвлекает от лица модели, написанного с мастерством художников старой школы, недаром К.Батюшков называл его ""вандиковым учеником""","портрет, автопортрет",Приобретено П.М.Третьяковым в 1870 у Н.И.Подключникова,True,Романтизм,Академизм
5,5,7,7,7,Автопортрет. 1828					,Иванов Александр Андреевич,10,,портрет,Приобр. в 1967 у С.П.Близниковской,True,Академизм,
6,6,8,8,8,Автопортрет,Венецианов Алексей Гаврилович,14,"Первоначальный вариант автопортрета, находящегося в ГРМ (1811). Жанр автопортрета, мало распространенный в  XVIII веке, получает в XIX веке большую популярность. Известны многие автопортреты современников Венецианова – О.А.Кипренского, А.Г.Варнека, К.П.Брюллова, А.О.Орловского и других, где художники представляют себя в опоэтизированном, ""возвышенном"" образе. Автопортрет Венецианова более строг, ""приземлен"", следует жизненной правде. Художник совершенно не стремится приукрасить себя и даже выглядит несколько старше своих тридцати лет. Палитра и кисти, обычные атрибуты подобных автопортретов, представлены не как символы ""гения"", ""избранника богов"", а как знаки профессионального призвания, в те времена во многом ремесленного труда. Неброская оливковая гамма отвечает сдержанной характеристике образа. За автопортрет Венецианов получил ""назначенного"", т.е. право выполнить работу на звание академика. Это было в то время редкостью – жанр портрета ценился в Академии художеств не слишком высоко",портрет,Пост. в 1924 из ГРМ,True,Романтизм,
7,7,9,9,9,Автопортрет,Брюллов (до 1822 – Брюлло) Карл Павлович,9,"Человеческая личность интересна для художника эпохи романтизма своим многообразием, непредсказуемостью внутренней жизни. Следствием этого интереса стало развитие жанра автопортрета. ""Автопортрет"" был написан К.П.Брюлловым сразу после тяжелой болезни в один сеанс, поэтому так естественно зазвучала в нем одна из ключевых тем романтизма – борьба бессильного тела и могучего духа. Цвет предельно дематериализован, черно-красная доминанта подчеркивает бледность лица, полного внутреннего горения, волосы уподоблены языкам пламени.  Бессильно упавшая рука, изможденный облик демонстративно противоречат энергичной живописи полотна. Полукруглое завершение рамы, черная блуза, прическа с бородкой-эспаньолкой, положение руки заставляют вспомнить старых мастеров (современники называли художника ""русским ван Дейком""). Брюллов изображает себя одновременно и как утратившего иллюзии ""сына века"", и как ""избранника богов"". Критика писала об ""Автопортрете"" К.П.Брюллова: ""Вся его натура перед вами; в картине выражено разом множество сторон духа, которые раскрывались перед наблюдающим умом художника не в одну встречу, а во много разных встреч; оттого, чем больше всматриваешься в брюлловский портрет, тем больше открываешь в нем всесторонней правды и глубины.""",портрет,Пост. в 1925 из Румянцевского музея,True,Романтизм,Классицизм
8,8,10,10,10,Автопортрет (?). Около 1809					,Кипренский Орест Адамович,8,,,Приобр. в 1927 у П.А.Левина,True,Романтизм,Академизм
9,9,11,11,11,"Автопортрет на фоне окна, с видом на Кремль",Тропинин Василий Андреевич,13,"""Воспоминания современников рисуют уютную московскую жизнь Тропинина в небольшой квартире на улице Ленивка, где он прожил более тридцати лет. Здесь семидесятилетний художник исполнил автопортрет, своеобразно сочетающий простоту собственного облика и представительность позы на фоне державной панорамы Кремля. Тропинин изображает себя против света, что является одним из любимых приемов романтического портрета. Однако игра бликов на лице не придает ему загадочной многозначительности. Облик художника сохраняет черты типично московского добродушия и благожелательности. Романтический пафос портрета можно рассматривать как дань моде, что для творчества Тропинина нетипично.Вариант-повторение портрета (1844) находится в Музее В.А.Тропинина и московских художников его времени""",портрет,Пост. в 1925  из Румянцевского музея,True,Романтизм,
